card_id,account_id,customer_id,card_number,card_type,network,expiry_date,status,daily_limit,issued_at
1,1,1,**** **** **** 1001,debit,Mastercard,2027-08-31,active,2000.0,2022-01-20
2,3,1,**** **** **** 2002,credit,Visa,2026-05-31,active,5000.0,2022-03-05
3,4,2,**** **** **** 1003,debit,Visa,2027-08-31,active,2000.0,2022-01-20
4,6,2,**** **** **** 2004,credit,Mastercard,2026-05-31,active,5000.0,2022-03-05
5,8,3,**** **** **** 1005,debit,Mastercard,2027-08-31,active,2000.0,2022-01-20
6,10,3,**** **** **** 2006,credit,Visa,2026-05-31,active,5000.0,2022-03-05
7,12,4,**** **** **** 1007,debit,Visa,2027-08-31,active,2000.0,2022-01-20
8,14,4,**** **** **** 2008,credit,Mastercard,2026-05-31,frozen,5000.0,2022-03-05
9,15,5,**** **** **** 1009,debit,Mastercard,2027-08-31,active,2000.0,2022-01-20
10,18,6,**** **** **** 1010,debit,Visa,2027-08-31,active,2000.0,2022-01-20
11,20,6,**** **** **** 2011,credit,Mastercard,2026-05-31,active,5000.0,2022-03-05
12,22,7,**** **** **** 1012,debit,Mastercard,2027-08-31,active,2000.0,2022-01-20
13,24,7,**** **** **** 2013,credit,Visa,2026-05-31,active,5000.0,2022-03-05
14,25,8,**** **** **** 1014,debit,Visa,2027-08-31,active,2000.0,2022-01-20
15,27,8,**** **** **** 2015,credit,Mastercard,2026-05-31,active,5000.0,2022-03-05
16,29,9,**** **** **** 1016,debit,Mastercard,2027-08-31,active,2000.0,2022-01-20
17,32,10,**** **** **** 1017,debit,Visa,2027-08-31,active,2000.0,2022-01-20
18,34,10,**** **** **** 2018,credit,Mastercard,2026-05-31,active,5000.0,2022-03-05
